Season,Week,GameStatus,Day,Date,AwayTeam,AwayScore,AwayWin,HomeTeam,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason,AwayWins,AwayLosses,HomeWins,HomeLosses,FullDate,HomeRestDays,AwayRestDays,H2H_HomeWinPct,HomeRollingScore,HomeRollingDefense,AwayRollingScore,AwayRollingDefense
2022,Week 17,FINAL,SUN,01/01,Bears,10.0,0.0,Lions,41.0,1.0,0.0,0.0,0,3,13,8,8,2022-01-01 00:00:00,6.0,6.0,0.5,19.8,22.6,20.4,26.6
2022,Week 17,FINAL,SUN,01/01,Cardinals,19.0,0.0,Falcons,20.0,1.0,0.0,0.0,0,4,12,6,10,2022-01-01 00:00:00,6.0,7.0,0.5,20.0,22.4,21.4,23.4
2022,Week 17,FINAL,SUN,01/01,Steelers,16.0,1.0,Ravens,13.0,0.0,0.0,0.0,0,8,8,10,6,2022-01-01 00:00:00,6.0,6.0,0.5,21.6,25.2,17.4,29.0
2022,Week 17,FINAL,SUN,01/01,Rams,10.0,0.0,Chargers,31.0,1.0,0.0,0.0,0,5,11,10,6,2022-01-01 00:00:00,6.0,6.0,0.5,29.6,29.2,29.0,19.8
2022,Week 17,FINAL,SUN,01/01,Vikings,17.0,0.0,Packers,41.0,1.0,0.0,0.0,0,12,4,8,8,2022-01-01 00:00:00,7.0,6.0,0.5,33.4,28.8,25.8,26.0
2022,Week 17,FINAL,SUN,01/01,Jets,6.0,0.0,Seahawks,23.0,1.0,0.0,0.0,0,7,9,8,8,2022-01-01 00:00:00,6.0,6.0,0.5,22.4,19.6,19.6,25.8
2022,Week 17,FINAL,SUN,01/01,49ers,37.0,1.0,Raiders,34.0,0.0,0.0,0.0,0,12,4,6,10,2022-01-01 00:00:00,6.0,9.0,0.5,18.6,25.0,26.2,22.4
2022,Week 17,FINAL,SUN,01/01,Jaguars,31.0,1.0,Texans,3.0,0.0,0.0,0.0,0,8,8,2,13,2022-01-01 00:00:00,6.0,6.0,0.5,19.6,26.0,11.6,26.8
2022,Week 17,FINAL,SUN,01/01,Panthers,24.0,0.0,Buccaneers,30.0,1.0,0.0,0.0,0,6,10,8,8,2022-01-01 00:00:00,6.0,6.0,0.5,26.6,18.0,14.4,30.4
2022,Week 17,FINAL,SUN,01/01,Saints,20.0,1.0,Eagles,10.0,0.0,0.0,0.0,0,7,9,13,3,2022-01-01 00:00:00,6.0,5.0,0.5,28.2,17.4,13.0,17.4
2022,Week 17,FINAL,SUN,01/01,Colts,10.0,0.0,Giants,38.0,1.0,0.0,0.0,0,4,11,9,6,2022-01-01 00:00:00,6.0,7.0,0.5,11.8,23.8,30.4,17.2
2022,Week 17,FINAL,SUN,01/01,Browns,24.0,1.0,Commanders,10.0,0.0,0.0,0.0,0,7,9,7,8,2022-01-01 00:00:00,7.0,7.0,0.5,0.0,0.0,16.6,17.6
2022,Week 17,FINAL,SUN,01/01,Dolphins,21.0,0.0,Patriots,23.0,1.0,0.0,0.0,0,8,8,8,8,2022-01-01 00:00:00,6.0,5.0,0.5,22.6,16.6,25.6,12.6
